City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Torbay,47.67,-52.73,39.76,94,100,8.05,CA,1649580693
Nouadhibou,20.93,-17.03,64.2,90,82,23.26,MR,1649573605
Bulungu,-4.55,18.6,70.41,90,27,1.83,CD,1649565955
Tasiilaq,65.61,-37.64,24.96,85,78,4.59,GL,1649574667
Mataura,-46.19,168.86,40.14,96,6,3.53,NZ,1649618092
Vila Velha,-20.33,-40.29,82.35,83,40,11.5,BR,1649580635
College,64.86,-147.8,19.58,65,100,1.01,US,1649601208
Chokurdakh,70.63,147.92,-21.03,100,100,2.3,RU,1649614918
Manakara,-22.13,48.02,73.56,86,9,2.17,MG,1649559503
Kaitangata,-46.28,169.85,44.28,93,21,5.75,NZ,1649617862
Yellowknife,62.46,-114.35,17.42,72,75,17.27,CA,1649593678
Tual,-5.67,132.75,81.79,78,100,8.39,ID,1649624991
Geraldton,-28.77,114.6,63.01,94,100,4.61,AU,1649630209
Vostok,46.49,135.88,29.68,95,98,5.06,RU,1649621865
Mahébourg,-20.41,57.7,77.29,88,40,10.36,MU,1649643532
Atuona,-9.8,-139.03,79.05,77,16,16.44,PF,1649603962
Hasaki,35.73,140.83,52.2,88,90,13.51,JP,1649621388
Hilo,19.73,-155.09,76.24,91,100,4.61,US,1649606767
Bathsheba,13.22,-59.52,83.01,74,40,18.41,BB,1649584089
Saravan,39.72,45.65,43.56,67,60,6.04,AM,1649643973
Coahuayana Viejo,18.73,-103.68,91.49,40,100,8.16,MX,1649594476
Piracaia,-23.05,-46.36,72.64,78,21,4.85,BR,1649582193
Lorengau,-2.02,147.27,81.01,81,43,9.57,PG,1649621381
Iberia,29.95,-91.75,78.06,50,0,24.16,US,1649591132
Ostrovnoy,68.05,39.51,33.6,84,100,24.36,RU,1649555582
Lagoa,39.05,-27.98,56.17,64,75,32.44,PT,1649575359
Xinzhou,38.41,112.73,64.04,26,3,4.29,CN,1649627971
Port Alfred,-33.59,26.89,66.18,92,100,5.99,ZA,1649565042
Mogadishu,2.04,45.34,81.54,74,21,14.61,SO,1649559318
Road Town,18.42,-64.62,84.24,61,20,8.05,VG,1649585117
Ixtapa,20.7,-105.2,79.83,74,20,14.97,MX,1649594761
Moerai,-22.43,-151.33,80.76,78,54,16.53,PF,1649607370
Bairnsdale,-37.83,147.62,63.05,88,62,5.99,AU,1649622706
Bredasdorp,-34.53,20.04,64.58,87,0,11.77,ZA,1649566730
Morant Bay,17.88,-76.41,80.71,73,40,12.3,JM,1649587966
Termini Imerese,37.98,13.7,52.2,74,13,4.25,IT,1649565429
Iracoubo,5.48,-53.2,79.93,81,83,12.62,GF,1649582846
Anadyr,64.75,177.48,19.9,86,0,2.24,RU,1649609541
Hong Kong,22.29,114.16,74.32,87,12,4.0,HK,1649628430
Abrau-Dyurso,44.69,37.59,53.06,60,89,5.39,RU,1649559270
Tautira,-17.73,-149.15,80.98,78,23,18.66,PF,1649606670
Caucayá,-0.19,-74.78,72.28,99,100,0.94,CO,1649588217
Cabo San Lucas,22.89,-109.91,81.61,56,0,19.57,MX,1649595802
Butaritari,3.07,172.79,79.92,79,99,8.55,KI,1649615083
Ust'-Ilimsk,58.0,102.66,23.11,97,96,2.37,RU,1649628628
Puerto Ayora,-0.74,-90.35,84.16,88,100,5.99,EC,1649591972
Fairfax,38.85,-77.35,56.88,41,75,18.41,US,1649587206
Mezen',65.85,44.24,36.93,93,100,10.09,RU,1649555014
Norman Wells,65.28,-126.83,15.84,57,40,14.97,CA,1649596093
Bambanglipuro,-7.95,110.28,75.54,90,79,2.8,ID,1649630461
Fortuna,40.6,-124.16,56.93,63,0,16.11,US,1649598320
Lavrentiya,65.58,-171.0,24.93,96,69,7.99,RU,1649692768
Port Lincoln,-34.73,135.87,62.98,82,100,14.56,AU,1649625373
Granada,37.19,-3.61,63.91,45,0,9.22,ES,1649569622
Kavaratti,10.57,72.64,83.71,77,94,11.18,IN,1649638845
Lethbridge,49.7,-112.82,38.64,69,100,4.61,CA,1649594920
Ormara,25.21,64.64,80.58,72,100,10.74,PK,1649640181
Bengkulu,-3.8,102.27,75.25,91,68,3.38,ID,1649632242
Qaqortoq,60.72,-46.03,33.84,53,100,4.36,GL,1649577614
Xai-Xai,-25.05,33.64,73.35,89,100,11.23,MZ,1649563064
Malbork,54.04,19.03,39.11,74,11,8.23,PL,1649562903
Ribeira Grande,38.52,-28.7,55.8,67,40,25.32,PT,1649575562
Upernavik,72.79,-56.15,6.15,81,99,7.56,GL,1649576705
Miles City,46.41,-105.84,47.37,36,75,14.97,US,1649593522
Hithadhoo,-0.6,73.08,83.52,72,30,10.92,MV,1649639134
Progreso,21.28,-89.67,92.1,51,7,18.92,MX,1649591012
Portland,45.52,-122.68,47.53,81,100,9.22,US,1649597625
New Norfolk,-42.78,147.06,52.92,54,100,1.01,AU,1649623115
Buala,-8.14,159.59,79.72,80,94,3.09,SB,1649618634
Saryagash,41.45,69.17,66.16,41,97,7.87,KZ,1649638222
Chui,-33.7,-53.46,72.43,74,39,14.47,UY,1649584341
Thompson,55.74,-97.86,35.76,87,75,9.22,CA,1649590713
Pyshchug,58.89,45.71,39.52,99,100,5.35,RU,1649555914
Kamaishi,39.27,141.88,53.26,63,0,7.83,JP,1649620930
Taihe,30.87,105.38,70.34,64,98,3.91,CN,1649630144
Casa Nova,-9.42,-41.13,91.2,39,41,2.77,BR,1649580453
Nanortalik,60.14,-45.24,31.87,80,100,4.5,GL,1649577514
Kaseda-shirakame,31.42,130.32,64.06,86,100,10.07,JP,1649624138
Ahome,25.92,-109.18,78.75,41,28,15.95,MX,1649595498
Chkalovskoye,44.84,133.04,49.35,84,100,7.47,RU,1649622672
Leningradskiy,69.38,178.42,-5.58,88,59,3.33,RU,1649608070
Santa Maria,-29.68,-53.81,76.3,78,0,4.61,BR,1649584247
Pénjamo,20.43,-101.73,85.77,18,5,8.88,MX,1649593940
Flinders,-34.58,150.86,63.68,93,41,7.0,AU,1649621766
Mar del Plata,-38.0,-57.56,70.09,97,100,17.0,AR,1649585533
Tiksi,71.69,128.87,-15.59,100,99,2.24,RU,1649619042
Half Moon Bay,37.46,-122.43,73.9,45,0,24.16,US,1649598095
Srednekolymsk,67.45,153.68,-0.53,97,100,6.67,RU,1649614575
Los Llanos de Aridane,28.66,-17.92,62.35,91,20,0.0,ES,1649573487
Ketchikan,55.34,-131.65,46.87,49,0,12.66,US,1649598856
Khandyga,62.67,135.6,7.54,92,100,3.94,RU,1649619990
Solnechnyy,50.72,136.63,27.25,97,100,3.31,RU,1649621319
Cidreira,-30.18,-50.21,72.5,87,100,17.45,BR,1649583404
Hobart,-42.88,147.33,53.26,64,75,5.75,AU,1649623056
Nikolskoye,59.7,30.79,39.09,87,15,9.4,RU,1649559372
Codrington,-38.27,141.97,58.05,58,98,10.4,AU,1649624085
Baruun-Urt,46.68,113.28,29.93,78,98,18.45,MN,1649627267
Júlio de Castilhos,-29.23,-53.68,72.37,77,100,4.76,BR,1649584198
Jiaojiang,28.68,121.44,66.99,94,83,3.0,CN,1649626399
Beringovskiy,63.05,179.32,27.25,95,100,10.56,RU,1649609450
Formosa do Rio Preto,-11.05,-45.19,93.38,26,6,1.92,BR,1649581483
Khasan,42.43,130.64,38.71,97,98,2.75,RU,1649623419
Dikson,73.51,80.55,-6.79,100,100,4.16,RU,1649629693
Nurota,40.56,65.69,71.46,37,100,9.26,UZ,1649639115
Puerto Escondido,15.85,-97.07,88.63,62,0,11.5,MX,1649592999
Scottsbluff,41.87,-103.67,48.43,32,75,26.46,US,1649593326
Dingle,11.0,122.67,72.39,98,100,11.7,PH,1649626827
Takapau,-40.03,176.35,50.74,85,0,1.99,NZ,1649615923
Provideniya,64.38,-173.3,24.44,98,93,6.58,RU,1649693598
Broome,42.25,-75.83,41.63,66,100,18.41,US,1649586628
Tomatlán,19.93,-105.25,91.71,36,0,11.97,MX,1649594804
Sulangan,11.14,123.72,76.87,94,100,17.34,PH,1649626569
Galle,6.04,80.22,80.78,79,79,9.13,LK,1649637191
Shkodër,42.07,19.51,50.18,82,73,4.38,AL,1649563783
Santa Rosa,14.31,121.11,80.58,85,100,3.56,PH,1649627078
Mogzon,51.74,111.96,15.57,95,18,2.84,RU,1649627133
Airai,-8.93,125.41,57.69,72,92,1.79,TL,1649626865
Erice,38.04,12.59,46.87,76,0,4.61,IT,1649565691
Long Xuyen,10.38,105.42,77.7,86,99,6.13,VN,1649630989
Porto-Novo,6.5,2.6,84.02,81,82,8.59,BJ,1649569422
Calabozo,8.92,-67.43,95.04,33,97,6.29,VE,1649586140
Gijang,35.24,129.21,59.56,90,95,5.61,KR,1649624201
Atasū,48.68,71.64,44.76,49,100,16.13,KZ,1649637079
George Town,5.41,100.34,80.53,92,20,2.3,MY,1649632386
Savonlinna,61.87,28.88,33.85,93,20,16.11,FI,1649559484
Makkah al Mukarramah,21.43,39.83,82.35,29,0,3.47,SA,1649559947
Carnarvon,-24.87,113.63,62.67,88,0,6.91,AU,1649630279
Souillac,-20.52,57.52,77.38,88,40,10.36,MU,1649643580
Mishkino,55.34,63.92,39.51,78,98,11.01,RU,1649638252
Cherskiy,68.75,161.3,-13.72,96,100,3.8,RU,1649612370
Severo-Kuril'sk,50.68,156.12,29.17,87,98,15.88,RU,1649616652
Klaksvík,62.23,-6.59,32.92,64,100,8.55,FO,1649567915
Ulaanbaatar,47.91,106.88,24.93,74,40,13.42,MN,1649628700
Valparaíso,-33.04,-71.63,69.44,53,0,14.97,CL,1649588673
Celestún,20.87,-90.4,83.52,44,3,14.0,MX,1649591205
Bereda,43.27,-7.54,60.42,87,68,2.46,ES,1649570188
Clyde River,70.47,-68.59,5.23,85,75,9.22,CA,1649580662
Ribera,37.5,13.26,48.25,70,6,7.16,IT,1649565560
Ponta do Sol,32.67,-17.1,65.03,79,10,12.86,PT,1649573098
Bethel,41.37,-73.41,49.17,54,94,1.99,US,1649586106
Vila Franca do Campo,37.72,-25.43,57.61,68,72,21.32,PT,1649574825
Strezhevoy,60.73,77.59,17.64,92,99,5.28,RU,1649634221
Najrān,17.49,44.13,74.05,19,0,4.36,SA,1649559067
Rawlins,41.79,-107.24,35.49,21,75,21.85,US,1649594187
Canmore,51.08,-115.35,31.82,43,100,5.75,CA,1649595400
Vardø,70.37,31.11,35.58,93,75,26.46,NO,1649556853
Marzuq,14.4,46.47,71.29,38,0,6.42,YE,1649558621
Praia,14.92,-23.51,72.14,68,20,17.27,CV,1649575388
Saint-Philippe,-21.36,55.77,78.39,83,65,12.88,RE,1649644032
Lensk,60.73,114.93,7.27,99,90,1.79,RU,1649625280
Woodstock,43.13,-80.75,46.81,63,100,14.03,CA,1649587747
Plettenberg Bay,-34.05,23.37,64.87,87,2,6.26,ZA,1649565908
Juegang,32.32,121.19,61.92,92,0,7.27,CN,1649626282
Saint George,37.1,-113.58,66.25,10,0,4.0,US,1649595996
Olafsvik,64.89,-23.71,38.79,76,100,11.23,IS,1649571495
Tsumeb,-19.23,17.72,72.54,44,18,5.95,NA,1649566670
Manokwari,-0.87,134.08,77.58,88,100,5.82,ID,1649624506
Tahe,52.33,124.73,27.5,96,100,7.31,CN,1649624013
Xingyi,24.19,102.82,55.36,81,0,1.86,CN,1649631069
Cap Malheureux,-19.98,57.61,75.47,87,11,3.0,MU,1649643537
Saint-Augustin,51.23,-58.65,35.58,100,99,3.0,CA,1649581799
Saltabarranca,18.6,-95.53,84.87,51,12,10.74,MX,1649592526
San Quintín,30.48,-115.95,64.78,65,0,11.63,MX,1649596910
Port Blair,11.67,92.75,77.04,94,20,2.3,IN,1649633981
Lahaina,20.88,-156.68,82.4,80,5,8.55,US,1649607103
Vestmanna,62.16,-7.17,31.12,69,75,5.75,FO,1649568066
Alofi,-19.06,-169.92,82.29,83,91,4.61,NU,1649611704
‘Āhuimanu,21.44,-157.84,80.31,66,75,13.8,US,1649607357
Ribeira Brava,32.65,-17.07,65.03,80,6,13.27,PT,1649573091
Yangi Marg`ilon,40.43,71.72,65.12,63,45,6.91,UZ,1649637678
Iralaya,15.0,-83.23,80.67,79,100,14.41,HN,1649589712
Álamos,27.02,-108.93,84.58,30,52,11.65,MX,1649595389
Bintulu,3.17,113.03,75.61,100,20,3.44,MY,1649629417
Festus,38.22,-90.4,78.53,44,97,17.34,US,1649590371
Morondava,-20.28,44.28,81.0,77,79,6.55,MG,1649560331
Mahon,39.89,4.27,54.16,71,0,8.05,ES,1649567576
Turan,16.07,108.22,75.18,88,20,1.14,VN,1649630104
Ubari,26.59,12.78,77.22,19,0,14.72,LY,1649566217
Klyuchi,52.27,79.17,32.63,81,0,8.03,RU,1649634938
Dubbo,-32.25,148.62,55.53,94,75,4.61,AU,1649622195
Ekpoma,6.74,6.14,76.96,77,58,5.17,NG,1649568566
Pecos,31.42,-103.49,88.63,7,0,16.11,US,1649593877
Urubichá,-15.38,-62.95,87.93,54,81,4.76,BO,1649585895
Markova,48.68,24.41,34.3,83,100,5.1,UA,1649562120
Ilulissat,69.22,-51.1,24.82,50,75,5.75,GL,1649576910
Helong,42.54,129.0,53.19,44,28,5.64,CN,1649623806
Tawang Town,27.58,91.87,44.91,90,100,2.3,IN,1649633543
Lüderitz,-26.65,15.16,69.01,58,0,11.45,NA,1649567564
Kutum,14.2,24.67,80.87,10,6,9.06,SD,1649563858
Zhigansk,66.77,123.37,-3.68,99,33,9.08,RU,1649622012
Yuanli,24.44,120.65,77.23,88,75,0.0,TW,1649626780
Nokia,61.47,23.5,35.85,93,100,14.97,FI,1649560840
İskilip,40.74,34.47,56.14,64,12,1.63,TR,1649560282
Kisangani,0.52,25.2,68.7,98,100,5.41,CD,1649564202
Coquimbo,-29.95,-71.34,60.53,77,20,11.5,CL,1649588469
Kunduz,36.73,68.86,75.38,33,100,1.66,AF,1649638589
Philadelphia,39.95,-75.16,50.04,50,100,12.66,US,1649586615
Bonnyville,54.27,-110.73,29.52,67,100,21.81,CA,1649593968
Tazovsky,67.47,78.7,14.47,95,100,9.98,RU,1649632514
Nísia Floresta,-6.09,-35.21,85.01,79,67,9.48,BR,1649578919
Haines Junction,60.75,-137.51,28.35,29,73,11.5,CA,1649599516
Bjørnevatn,69.67,29.98,33.42,100,75,21.85,NO,1649557366
Jackson,42.42,-122.83,54.91,54,100,5.75,US,1649597884
Bontang,0.13,117.5,76.53,90,99,7.61,ID,1649628451
Aykhal,66.0,111.5,7.3,100,70,3.0,RU,1649625047
Burnie,-41.07,145.92,49.91,66,8,12.57,AU,1649623289
Koutiala,12.39,-5.46,98.55,14,33,3.65,ML,1649571151
Mount Gambier,-37.83,140.77,51.71,82,88,5.75,AU,1649624351
Kasempa,-13.46,25.83,62.85,97,100,3.29,ZM,1649564519
Balatonszárszó,46.83,17.82,43.86,54,1,10.76,HU,1649563848
Prince Rupert,54.32,-130.32,44.69,65,0,8.05,CA,1649598655
Vanavara,60.34,102.28,10.94,97,70,3.11,RU,1649628372
Pevek,69.7,170.31,-21.23,99,35,4.23,RU,1649609901
Simbakoro,8.6,-11.02,75.96,83,83,2.66,SL,1649572617
Vanimo,-2.67,141.3,76.14,88,52,7.2,PG,1649622836
Novy Urengoy,66.08,76.63,25.88,97,100,9.4,RU,1649633372
Lebu,-37.62,-73.65,54.5,75,48,14.05,CL,1649589378
Port-Gentil,-0.72,8.78,80.53,83,57,10.31,GA,1649568183
Phuket,8.0,98.25,86.13,94,20,2.3,TH,1649632794
Sovetskiy,61.36,63.58,36.21,98,100,8.97,RU,1649637469
Olinda,-8.01,-34.86,83.93,70,40,10.36,BR,1649578899
Samarai,-10.62,150.67,83.61,76,69,17.11,PG,1649620862
Hede,33.77,120.25,59.54,85,0,7.61,CN,1649626430
Etchoropo,26.77,-109.67,89.42,59,9,18.68,MX,1649595576
Port Elizabeth,-33.92,25.57,67.1,96,100,14.97,ZA,1649565374
Quelimane,-17.88,36.89,76.95,94,0,3.44,MZ,1649562020
Creston,41.06,-94.36,75.16,27,0,21.85,US,1649591148
Savannakhet,16.57,104.75,75.85,43,6,5.44,LA,1649630917
The Valley,18.22,-63.06,84.06,69,40,13.8,AI,1649584751
General Pico,-35.66,-63.76,64.17,93,100,10.63,AR,1649586906
Pitimbu,-7.47,-34.81,82.99,74,47,11.77,BR,1649578869
Grand Baie,-20.02,57.58,77.47,87,15,3.0,MU,1649643546
Estelle,29.85,-90.11,78.01,47,20,18.41,US,1649590743
Sassandra,4.95,-6.08,81.09,82,10,8.19,CI,1649571559
Teknāf,20.86,92.31,77.95,87,17,2.84,BD,1649633730
Korem,12.51,39.52,58.89,46,6,3.56,ET,1649560355
Minsk,53.9,27.57,31.75,70,100,5.97,BY,1649560871
Ambon City,-3.7,128.18,75.34,94,20,2.3,ID,1649626019
Meulaboh,4.14,96.13,77.41,87,100,1.7,ID,1649633440
Salmās,38.2,44.77,53.2,46,63,3.78,IR,1649644279
Langsa,4.47,97.97,74.61,94,77,2.08,ID,1649632987
Termez,37.22,67.28,73.49,33,0,9.22,UZ,1649638939
Varhaug,58.61,5.65,38.86,77,59,20.07,NO,1649565550
Khatanga,71.97,102.5,0.23,98,97,0.49,RU,1649625222
Korla,41.76,86.15,57.97,41,60,2.24,CN,1649634131
Pochutla,15.74,-96.47,89.82,40,66,8.93,MX,1649592859
Fare,-16.7,-151.02,82.08,74,28,16.49,PF,1649607081
Jaqué,7.52,-78.17,82.02,80,100,4.54,PA,1649588767
Beïnamar,8.67,15.38,84.96,44,80,1.83,TD,1649566282
Laguna,38.42,-121.42,72.14,23,0,12.66,US,1649597798
Salekhard,66.53,66.6,33.75,99,100,8.52,RU,1649635660
Māndal,25.45,74.57,83.97,11,4,11.54,IN,1649637789
Grand Gaube,-20.01,57.66,77.4,87,12,3.0,MU,1649643526
Fenoarivo,-18.93,47.44,59.99,89,99,7.2,MG,1649559526
Beyneu,45.32,55.2,57.74,60,0,6.46,KZ,1649641295
Paamiut,61.99,-49.67,30.76,77,100,14.03,GL,1649578271
Isangel,-19.55,169.27,80.26,79,37,7.7,VU,1649616719
Gezing,47.92,13.13,35.35,97,75,4.61,AT,1649564887
Pisco,-13.7,-76.22,75.25,64,0,6.91,PE,1649589021
Puerto Colombia,10.99,-74.95,86.09,74,98,20.69,CO,1649587873
Sola,-13.88,167.55,81.73,76,32,9.24,VU,1649616925
Kasungu,-13.03,33.48,62.17,96,55,3.65,MW,1649562668
Sigli,5.38,95.96,79.23,84,89,4.45,ID,1649633436
Karratha,-20.74,116.85,79.65,39,1,10.78,AU,1649629347
Dologon,7.84,125.04,71.92,97,99,4.14,PH,1649626371
Bochnia,49.97,20.43,38.37,78,47,7.2,PL,1649562963
Elko,41.0,-115.5,44.64,26,100,13.0,US,1649596219
Venice,27.1,-82.45,79.99,26,0,9.22,US,1649589035
Aklavik,68.22,-135.01,7.02,75,66,2.3,CA,1649597293
Jiaozuo,35.24,113.23,69.35,47,0,1.79,CN,1649628033
Adrar,20.5,-10.07,86.29,5,0,9.35,MR,1649571952
Yaan,7.38,8.57,83.05,51,55,4.09,NG,1649567961
Khovu-Aksy,51.13,93.6,25.81,52,100,4.68,RU,1649631592
Kandrian,-6.22,149.55,76.68,89,47,4.56,PG,1649620978
Jacmel,18.23,-72.53,85.84,73,67,4.63,HT,1649587023
Pula,44.87,13.85,41.56,75,0,4.61,HR,1649564949
Pundaguitan,6.37,126.17,81.21,77,100,10.29,PH,1649626154
Matagami,49.75,-77.63,32.11,69,100,11.5,CA,1649586483
San Cristobal,7.77,-72.22,80.78,40,100,6.89,VE,1649587331
Buchanan,5.88,-10.05,80.65,84,60,7.56,LR,1649572479
Paredon,16.03,-93.87,90.19,45,6,12.37,MX,1649592224
Nieuw Amsterdam,5.88,-55.08,84.36,75,20,13.8,SR,1649583284
Igrim,63.19,64.42,35.83,99,100,8.55,RU,1649636934
Kassala,15.45,36.4,92.14,20,0,10.56,SD,1649560997
Eskil,38.4,33.41,58.86,50,63,11.7,TR,1649560677
Richards Bay,-28.78,32.04,65.93,92,100,4.32,ZA,1649563599
Salalah,17.02,54.09,80.69,89,0,2.3,OM,1649643051
Walla Walla,46.06,-118.34,48.51,63,100,17.27,US,1649596545
Asău,46.43,26.4,40.95,81,100,8.03,RO,1649561824
Atar,20.52,-13.05,85.77,5,5,6.98,MR,1649572666
Ancud,-41.87,-73.82,53.22,72,77,6.53,CL,1649589647
Bremerton,47.57,-122.63,48.72,73,75,10.36,US,1649597454
Nishihara,26.18,127.76,72.68,97,75,9.22,JP,1649625000
Iglesias,39.31,8.54,51.22,64,23,4.03,IT,1649566588
Moose Factory,51.26,-80.61,33.8,74,40,10.36,CA,1649587058
Dengzhou,37.81,120.75,57.33,78,0,11.03,CN,1649626084
Rancho Palos Verdes,33.74,-118.39,75.42,69,75,10.36,US,1649597331
Mehamn,71.04,27.85,37.35,87,40,13.8,NO,1649557384
Taloqan,36.74,69.53,73.15,29,95,2.15,AF,1649638427
Muros,42.78,-9.06,58.68,80,40,14.45,ES,1649570586
Avarua,-21.21,-159.78,84.25,79,20,6.91,CK,1649609349
Atami,35.09,139.07,59.2,87,100,5.59,JP,1649621847
Nemuro,43.32,145.57,37.31,93,100,9.69,JP,1649619778
Vilhena,-12.74,-60.15,82.62,65,40,9.22,BR,1649585130
Auki,-8.77,160.7,77.4,87,79,4.07,SB,1649618389
Kismayo,-0.36,42.55,81.9,80,24,12.03,SO,1649560069
Forio,40.73,13.86,56.43,59,3,11.99,IT,1649565223
Loei,17.42,101.5,66.11,58,2,2.75,TH,1649631663
Boone,39.03,-92.33,86.25,55,83,18.25,US,1649590787
Shestakovo,56.49,103.96,21.9,99,100,3.06,RU,1649628517
Caravelas,-17.71,-39.25,81.07,74,10,7.4,BR,1649580289
Katobu,-4.94,122.53,73.47,92,93,2.51,ID,1649627419
Sur,22.57,59.53,87.51,36,57,8.19,OM,1649641521
Cortez,37.35,-108.59,55.04,9,0,13.8,US,1649594783
Puerto Carreño,6.19,-67.49,94.98,46,40,6.91,CO,1649586249
Tura,25.52,90.22,69.13,94,1,4.45,IN,1649634032
Touros,-5.2,-35.46,81.77,74,100,10.67,BR,1649578950
Homberg (Efze),51.03,9.4,35.82,85,18,1.45,DE,1649565510
Tarrafal,15.28,-23.77,72.39,82,4,15.73,CV,1649575437
Salinópolis,-0.61,-47.36,76.59,89,100,5.3,BR,1649581650
Porecatu,-22.76,-51.38,82.8,65,74,4.12,BR,1649583387
Ugoofaaru,5.67,73.0,84.56,71,36,13.22,MV,1649638935
Taoudenni,22.68,-3.98,83.71,6,0,9.78,ML,1649570404
Wellington,-41.29,174.78,62.26,74,40,26.46,NZ,1649616371
North Bend,43.41,-124.22,50.16,90,40,6.91,US,1649598149
Avera,33.19,-82.53,74.37,31,0,7.07,US,1649588760
Maheshwar,22.18,75.58,89.74,16,5,8.68,IN,1649637686
Diamantino,-14.41,-56.45,87.48,58,56,0.38,BR,1649584300
Bom Jesus,-9.07,-44.36,93.18,34,64,6.44,BR,1649581216
Tongling,30.95,117.78,66.58,64,0,4.56,CN,1649627167
Santa Cruz Cabrália,-16.28,-39.02,82.63,74,0,10.36,BR,1649580184
Guerrero Negro,27.98,-114.06,74.44,48,0,11.79,MX,1649596575
Bāfq,31.61,55.41,71.11,16,0,7.7,IR,1649642090
Cabedelo,-6.98,-34.83,83.07,76,77,12.97,BR,1649578859
Ginda,30.69,78.49,59.94,25,0,8.59,IN,1649636601
Belaya Gora,68.53,146.42,-20.92,100,99,3.29,RU,1649615998
Ust-Kuyga,70.02,135.6,-17.18,98,99,3.74,RU,1649618093
Zhezkazgan,47.8,67.71,54.79,25,100,21.45,KZ,1649638096
Erzin,36.96,36.2,59.02,55,46,2.39,TR,1649560091
Ntoum,0.38,9.78,76.53,87,4,2.8,GA,1649567906
Juneau,58.3,-134.42,44.98,43,20,14.97,US,1649599143
Dudinka,69.41,86.18,-18.24,100,98,5.21,RU,1649630128
Paita,-5.09,-81.11,75.2,72,14,17.78,PE,1649589902
Tete,-16.16,33.59,73.49,100,40,0.0,MZ,1649562751
Maracaçumé,-2.04,-45.96,79.2,86,99,4.36,BR,1649581363
Novosheshminsk,55.07,51.23,43.65,95,100,4.07,RU,1649555073
Kampot,10.62,104.18,78.73,83,40,3.51,KH,1649631276
Sal Rei,16.18,-22.92,69.22,80,10,19.3,CV,1649575199
Conde,-7.26,-34.91,81.86,78,40,13.8,BR,1649578886
Tra Vinh,9.93,106.35,76.05,90,26,4.52,VN,1649630782
